date,close,open,max,min,volume,return,comments,sentiment_sum,positive,negative
2024-06-03,308.15,313.5,315.35,305.01,52980000,-1.58,68.0,-17.79557455703616,20,48
2024-05-31,313.11,316.0,318.44,309.84,49210000,-1.11,274.0,-38.08078123629093,115,159
2024-05-30,316.63,320.91,321.54,316.0,27010000,-1.17,151.0,-25.633767053484917,58,93
2024-05-29,320.38,318.25,320.4,315.94,22990000,0.68,110.0,-30.87696006707847,33,77
2024-05-28,318.22,317.5,320.9,315.89,30190000,0.36,131.0,-16.074570139870048,59,72
2024-05-27,317.09,321.01,321.94,315.5,45710000,-1.22,191.0,-49.06127972621471,59,132
2024-05-24,321.0,323.83,324.48,319.98,26590000,-0.79,157.0,-32.63428380154073,51,106
2024-05-23,323.54,322.8,324.0,321.4,17870000,0.19,131.0,-22.395527932792902,50,81
2024-05-22,322.93,320.8,323.1,320.98,18650000,0.71,82.0,-10.913835374638438,30,52
2024-05-21,320.64,320.88,322.22,318.0,34020000,-0.14,135.0,-30.27000128943473,41,94
2024-05-20,321.08,324.0,324.84,319.04,36740000,-0.64,94.0,-23.487163552548736,32,62
2024-05-17,323.16,322.96,323.5,320.02,24400000,0.08,93.0,-9.109563443809748,40,53
2024-05-16,322.91,320.0,322.91,320.0,27850000,1.0,150.0,-27.16001840028912,55,95
2024-05-15,319.7,318.2,320.15,317.8,28350000,0.5,92.0,-2.8421543361619115,45,47
2024-05-14,318.12,315.0,318.38,313.61,35250000,1.04,141.0,-27.343323286622763,46,95
2024-05-13,314.85,314.1,315.69,314.18,21710000,0.43,66.0,-6.89557699393481,25,41
2024-05-10,313.49,311.5,313.5,311.36,16719999,0.73,70.0,-5.35018771328032,35,35
2024-05-08,311.21,308.41,311.83,308.08,33880000,0.97,126.0,-17.254692207556218,48,78
2024-05-07,308.22,306.23,308.79,306.21,16620000,0.72,73.0,-16.22468069102615,23,50
2024-05-06,306.01,308.1,308.09,305.57,19200000,-0.49,78.0,-8.585370835848153,31,47
2024-05-03,307.53,307.11,308.22,304.43,30470000,0.05,117.0,-25.53326640278101,40,77
2024-05-02,307.37,308.7,309.13,306.8,16260000,-0.28,86.0,-24.809794770553708,28,58
2024-04-30,308.24,309.19,309.49,308.03,5980000,-0.24,43.0,-6.190099709667265,18,25
2024-04-29,308.97,309.14,309.6,307.65,10030000,0.0,26.0,-2.8790829330682755,13,13
2024-04-27,308.98,309.25,309.99,308.7,13110000,-0.01,47.0,-0.7505581118166447,22,25
2024-04-26,309.0,308.5,309.9,308.0,21150000,0.19,132.0,-3.612647958099842,62,70
2024-04-25,308.41,307.95,309.07,307.45,15950000,0.15,123.0,-17.048091490752995,48,75
2024-04-24,307.94,307.5,309.79,306.65,26560000,0.18,196.0,-30.871345763094723,73,123
2024-04-23,307.39,315.39,315.79,306.26,92860000,-2.41,483.0,-54.313361634965986,206,277
2024-04-22,314.99,308.0,315.0,307.38,69010000,2.48,279.0,-41.94410199858248,114,165
2024-04-19,307.38,308.0,308.36,306.8,14580000,-0.2,75.0,-7.923232515342534,33,42
2024-04-18,307.99,306.01,308.29,305.12,20390000,0.46,76.0,-2.0320869088172913,38,38
2024-04-17,306.59,308.65,309.72,305.91,28230000,-0.55,83.0,-8.397384762763977,36,47
2024-04-16,308.29,308.0,308.6,307.0,17140000,0.1,82.0,-9.79618109529838,29,53
2024-04-15,307.99,307.47,308.39,306.64,20750000,0.29,66.0,-10.840833162888885,25,41
2024-04-12,307.1,307.4,307.85,306.33,16030000,0.05,100.0,-13.404057203326374,40,60
2024-04-11,306.95,306.7,308.0,305.7,20530000,0.15,96.0,-15.71474736649543,37,59
2024-04-10,306.48,306.76,307.14,304.62,20680000,-0.09,83.0,-13.162657375447452,31,52
2024-04-09,306.76,308.1,309.32,305.51,32040000,-0.32,167.0,-9.464437942951918,79,88
2024-04-08,307.75,306.5,308.59,306.3,24900000,0.54,110.0,-10.539623732678592,48,62
2024-04-05,306.1,304.62,306.5,303.7,19360000,0.49,117.0,-8.025668041780591,58,59
2024-04-04,304.61,306.8,307.75,304.4,29070000,-0.69,159.0,-30.554681161418557,56,103
2024-04-03,306.72,300.4,307.1,300.21,58230000,2.11,243.0,-51.71790135232732,79,164
2024-04-02,300.38,300.43,300.99,298.95,19980000,-0.02,106.0,-12.407044084975496,46,60
2024-04-01,300.43,300.0,301.6,299.53,28660000,0.57,130.0,-27.194168869871646,40,90
2024-03-29,298.72,299.38,299.49,298.0,17710000,-0.09,90.0,-15.927333801053464,37,53
2024-03-28,299.0,295.5,299.29,295.5,33680000,1.32,184.0,-34.88979937881231,68,116
2024-03-27,295.1,294.47,295.11,293.47,14560000,0.34,87.0,-13.857718700543046,34,53
2024-03-26,294.11,294.5,295.77,293.09,16300000,0.07,110.0,-41.65314802527428,21,89
2024-03-25,293.9,294.0,294.93,292.13,25570000,0.31,130.0,-27.441857798025012,45,85
2024-03-22,292.99,295.77,296.78,291.06,48980000,-0.89,124.0,-38.361287261359394,29,95
2024-03-21,295.62,295.99,297.3,291.85,70680000,0.07,178.0,-18.743836972862482,79,99
2024-03-20,295.4,295.3,296.85,293.53,30700000,0.07,155.0,-24.729764404706657,59,96
2024-03-19,295.2,298.3,299.4,294.21,59710000,-1.23,259.0,-45.562317724339664,100,159
2024-03-18,298.87,299.4,299.98,297.63,20280000,0.19,113.0,-21.746150502935052,43,70
2024-03-15,298.3,295.71,299.44,295.29,26040000,0.83,161.0,-30.73020645417273,53,108
2024-03-14,295.83,298.5,298.7,295.14,42210000,-1.01,207.0,-36.653565265238285,74,133
2024-03-13,298.85,301.2,301.49,298.7,24010000,-0.68,127.0,-29.868843969888985,39,88
2024-03-12,300.9,299.6,301.07,297.34,28740000,0.37,179.0,-31.57096290960908,63,116
2024-03-11,299.79,301.0,302.95,298.5,41780000,-0.2,164.0,-19.47752049472183,63,101
2024-03-07,300.4,297.72,300.58,297.24,21980000,0.9,93.0,-18.275051606819034,32,61
2024-03-06,297.71,298.2,299.33,296.82,17760000,-0.23,159.0,-22.569235268980265,61,98
2024-03-05,298.4,299.33,300.41,297.57,41760000,-0.26,339.0,-43.75438178982586,141,198
2024-03-04,299.17,295.87,299.5,295.8,40610000,1.28,254.0,-15.107520423829556,109,145
2024-03-01,295.38,292.2,295.88,292.2,27130000,1.09,125.0,-17.945036064833403,55,70
2024-02-29,292.19,292.31,293.2,291.3,22440000,0.15,150.0,-23.315575825981796,59,91
2024-02-28,291.75,292.6,293.95,289.75,49330000,-0.26,240.0,-23.477700498886406,105,135
2024-02-27,292.52,291.35,293.0,290.55,32500000,0.44,113.0,-21.785996242426336,36,77
2024-02-26,291.25,288.52,291.3,287.0,42970000,2.28,139.0,-23.373505713418126,52,87
2024-02-22,284.77,282.1,285.05,282.1,25180000,0.98,125.0,-20.293966102413833,49,76
2024-02-21,282.0,283.9,285.28,280.2,48920000,-0.67,221.0,-50.315324489958584,76,145
2024-02-20,283.9,289.2,289.28,283.29,44970000,-1.74,153.0,-29.161987299099565,52,101
2024-02-19,288.93,288.51,289.98,287.07,24330000,0.21,47.0,-10.620199648663402,17,30
2024-02-16,288.33,290.47,292.3,286.25,53450000,-0.66,202.0,-31.76965067582205,82,120
2024-02-15,290.24,289.3,290.45,287.63,25910000,0.41,91.0,-10.455908857285976,38,53
2024-02-14,289.06,287.07,290.6,286.84,35870000,0.69,149.0,-13.580146707594395,62,87
2024-02-13,287.07,287.52,289.0,285.4,33310000,-0.07,146.0,-37.187292048707604,45,101
2024-02-12,287.28,283.66,287.84,283.5,33890000,1.33,74.0,-9.206991208717227,32,42
2024-02-09,283.5,282.17,284.0,281.5,24380000,0.47,67.0,-10.801375503651798,25,42
2024-02-08,282.17,284.52,286.24,281.25,44130000,-0.79,143.0,-12.947278801817447,66,77
2024-02-07,284.41,278.82,284.5,278.81,45370000,2.06,136.0,-11.385895006824285,59,77
2024-02-06,278.67,278.0,278.99,277.3,15960000,0.3,78.0,-12.528624337166548,28,50
2024-02-05,277.84,277.0,278.57,276.9,16059999,0.4,59.0,-7.774684444069862,25,34
2024-02-02,276.74,277.0,277.3,276.0,12720000,-0.04,72.0,-5.714898407459259,27,45
2024-02-01,276.86,276.03,277.75,275.93,15980000,0.31,82.0,-6.294608537107706,37,45
2024-01-31,276.0,275.84,276.45,275.0,12540000,0.12,90.0,-13.994725089520216,34,56
2024-01-30,275.67,274.01,277.25,273.97,27240000,0.59,70.0,0.925719072110951,36,34
2024-01-29,274.05,273.02,274.95,272.7,17100000,0.51,70.0,-10.935183362103999,24,46
2024-01-26,272.65,273.1,273.72,272.21,11130000,-0.06,84.0,3.225485745817423,43,41
2024-01-25,272.81,274.0,274.18,271.55,24440000,-0.35,109.0,-16.703436406329274,41,68
2024-01-24,273.77,275.9,276.44,273.7,20200000,-0.77,83.0,-6.994428437203169,34,49
2024-01-23,275.9,274.7,277.26,274.31,20090000,0.35,81.0,-5.325726154260337,35,46
2024-01-22,274.93,274.86,275.9,273.85,15090000,0.03,40.0,-1.9019883954897523,16,24
2024-01-19,274.86,277.39,277.47,273.55,28050000,-0.8,81.0,-11.201864037662745,32,49
2024-01-18,277.07,278.24,278.87,276.76,17700000,-0.33,83.0,-0.02558540552854538,46,37
2024-01-17,278.0,276.02,279.17,275.75,34260000,0.72,104.0,-4.610385625623167,50,54
2024-01-16,276.01,276.22,276.45,274.1,16110000,0.02,76.0,-1.5290509769693017,33,43
2024-01-15,275.96,276.45,277.73,275.21,21400000,0.04,42.0,2.5674858009442687,23,19
2024-01-12,275.84,276.0,276.96,274.77,17700000,0.05,88.0,-16.551101851277053,30,58
2024-01-11,275.71,274.78,275.97,274.01,19530000,0.44,64.0,-3.3259554132819176,30,34
2024-01-10,274.49,275.3,276.16,273.64,20660000,-0.29,64.0,-9.335614673793316,23,41
2024-01-09,275.28,276.97,278.0,274.71,20320000,-0.53,42.0,-6.933448296971619,16,26
2024-01-08,276.76,273.6,277.0,273.53,21490000,1.15,54.0,-9.154380830004811,19,35
2024-01-05,273.62,274.3,274.69,272.8,9640000,-0.18,47.0,-6.347238138318062,18,29
2024-01-04,274.12,274.67,275.48,273.7,11730000,-0.16,36.0,-7.287596529349685,13,23
2024-01-03,274.56,271.9,274.7,271.0,20590000,1.38,58.0,-3.4970414144918323,25,33
2023-12-29,270.82,272.19,272.59,270.55,20810000,-0.34,54.0,-4.7913306672126055,23,31
2023-12-28,271.74,270.92,272.48,268.52,29440000,0.24,65.0,-6.946438251063228,30,35
2023-12-27,271.08,271.9,272.59,270.85,17210000,-0.3,52.0,-0.603007473051548,25,27
2023-12-26,271.9,271.0,272.89,270.0,22660000,0.3,78.0,-7.536910762544721,36,42
2023-12-25,271.08,271.72,273.85,270.05,38120000,-0.08,76.0,-4.8000945476815104,33,43
2023-12-22,271.3,266.06,271.9,265.37,58720000,2.3,185.0,-19.404125465545803,74,111
2023-12-21,265.19,266.4,266.87,263.5,33299999,-0.53,102.0,-19.86027771793306,35,67
2023-12-20,266.61,267.51,269.1,266.2,31090000,-0.28,88.0,-2.7493211086839437,45,43
2023-12-19,267.35,268.38,269.71,265.0,38290000,-0.39,93.0,-26.3843802055344,27,66
2023-12-18,268.4,268.93,270.44,266.54,51600000,0.07,82.0,-16.531362870708108,31,51
2023-12-15,268.21,256.6,268.91,256.6,84670000,4.51,192.0,-9.682448755949736,88,104
2023-12-14,256.64,261.4,262.75,255.58,40550000,-1.46,113.0,-21.51853021234274,38,75
